site	qk	fk
2935	0.188	0.04
2936	0.125	0.957
2937	0.229	0.473
2938	0.146	0.02
2939	0.146	0.086
2940	0.146	0.246
2941	0.146	0.716
2942	0.167	0.512
2943	0.313	0.297
2944	0.104	0.107
2945	0.188	0.263
2946	0.104	0.152
2947	0.083	0.521
2948	0.188	0.632
2949	0.083	0.048
2950	0.229	0.449
2951	0.104	0.095
2952	0.208	0.848
2953	0.083	0.34
2954	0.208	0.916
2955	0.104	0.025
2956	0.292	0.721
2957	0.313	0.926
2958	0.083	0.626
2959	0.146	0.093
2960	0.188	0.891
2961	0.167	0.886
2962	0.125	0.588
2963	0.167	0.11
2964	0.125	0.441
2965	0.167	0.079
2966	0.229	0.485
2967	0.188	0.827
2968	0.125	0.184
2969	0.25	0.957
2970	0.167	0.582
2971	0.208	0.022
2972	0.146	0.533
2973	0.292	0.547
2974	0.104	0.327
2975	0.25	0.294
2976	0.208	0.569
2977	0.208	0.51
2978	0.167	0.615
2979	0.188	0.752
2980	0.25	0.774
2981	0.229	0.412
2982	0.292	0.941
2983	0.208	0.847
2984	0.333	0.627
2985	0.292	0.859
2986	0.125	0.347
2987	0.063	0.647
2988	0.167	0.225
2989	0.063	0.022
2990	0.146	0.011
2991	0.229	0.697
2992	0.25	0.918
2993	0.25	0.81
2994	0.271	0.942
2995	0.167	0.63
2996	0.208	0.91
2997	0.25	0.836
2998	0.104	0.468
2999	0.188	0.897
3000	0.208	0.757
3001	0.125	0.975
3002	0.083	0.172
3003	0.167	0.656
3004	0.292	0.945
3005	0.167	0.142
3006	0.125	0.449
3007	0.188	0.804
3008	0.208	0.356
3009	0.167	0.313
3010	0.083	0.237
3011	0.188	0.395
3012	0.25	0.122
3013	0.167	0.561
3014	0.188	0.398
3015	0.167	0.44
3016	0.25	0.092
3017	0.125	0.023
3018	0.167	0.232
3019	0.104	0.668
3020	0.208	0.206
3021	0.229	0.894
3022	0.167	0.26
3023	0.167	0.432
3024	0.167	0.365
3025	0.208	0.673
3026	0.146	0.766
3027	0.208	0.092
3028	0.042	0.314
3029	0.354	0.592
3030	0.292	0.555
3031	0.083	0.234
3032	0.188	0.214
3033	0.25	0.49
3034	0.25	0.69
3035	0.25	0.913
3036	0.167	0.731
3037	0.25	0.139
3038	0.125	0.089
3039	0.229	0.963
3040	0.146	0.546
3041	0.167	0.161
3042	0.208	0.273
3043	0.271	0.786
3044	0.125	0.783
3045	0.208	0.94
3046	0.188	0.321
3047	0.063	0.047
3048	0.167	0.443
3049	0.167	0.378
3050	0.146	0.185
3051	0.229	0.161
3052	0.167	0.548
3053	0.188	0.334
3054	0.167	0.581
3055	0.125	0.526
3056	0.146	0.452
3057	0.146	0.895
3058	0.167	0.565
3059	0.083	0.143
3060	0.125	0.716
3061	0.125	0.341
3062	0.167	0.799
3063	0.146	0.804
3064	0.167	0.976
3065	0.146	0.88
3066	0.146	0.606
3067	0.104	0.614
3068	0.125	0.289
3069	0.167	0.342
3070	0.271	0.32
3071	0.167	0.448
3072	0.188	0.262
3073	0.188	0.409
3074	0.208	0.5
3075	0.042	0.063
3076	0.229	0.905
3077	0.188	0.547
3078	0.208	0.948
3079	0.083	0.915
3080	0.104	0.103
3081	0.208	0.184
3082	0.188	0.421
3083	0.208	0.647
3084	0.063	0.67
3085	0.188	0.107
3086	0.125	0.324
3087	0.25	0.797
3088	0.229	0.794
3089	0.146	0.39
3090	0.188	0.162
3091	0.083	0.06
3092	0.104	0.909
3093	0.167	0.348
3094	0.167	0.279
3095	0.313	0.434
3096	0.271	0.664
3097	0.146	0.229
3098	0.188	0.098
3099	0.167	0.113
3100	0.208	0.526
3101	0.021	0.203
3102	0.167	0.124
3103	0.229	0.427
3104	0.083	0.079
3105	0.188	0.838
3106	0.188	0.477
3107	0.229	0.703
3108	0.292	0.396
3109	0.188	0.443
3110	0.292	0.659
3111	0.125	0.166
3112	0.146	0.055
3113	0.208	0.586
3114	0.104	0.282
3115	0.146	0.059
3116	0.208	0.926
3117	0.25	0.464
3118	0.146	0.484
3119	0.125	0.362
3120	0.167	0.659
3121	0.146	0.946
3122	0.292	0.634
3123	0.25	0.903
3124	0.313	0.521
3125	0.167	0.779
3126	0.146	0.256
3127	0.313	0.79
3128	0.188	0.561
3129	0.083	0.32
3130	0.188	0.337
3131	0.167	0.157
3132	0.125	0.348
3133	0.229	0.49
3134	0.208	0.6
3135	0.167	0.87
3136	0.229	0.363
3137	0.25	0.936
3138	0.167	0.239
3139	0.271	0.312
3140	0.292	0.501
3141	0.167	0.531
3142	0.083	0.078
3143	0.167	0.832
3144	0.25	0.591
3145	0.208	0.333
3146	0.146	0.257
3147	0.125	0.232
3148	0.167	0.03
3149	0.271	0.736
3150	0.188	0.914
3151	0.188	0.033
3152	0.146	0.817
3153	0.375	0.796
3154	0.146	0.161
3155	0.167	0.517
3156	0.146	0.015
3157	0.167	0.927
3158	0.146	0.362
3159	0.146	0.267
3160	0.146	0.44
3161	0.188	0.701
3162	0.167	0.986
3163	0.188	0.204
3164	0.125	0.4
3165	0.271	0.099
3166	0.188	0.882
3167	0.313	0.985
3168	0.271	0.853
3169	0.25	0.417
3170	0.25	0.937
3171	0.167	0.508
3172	0.271	0.731
3173	0.146	0.443
3174	0.167	0.086
3175	0.146	0.255
3176	0.188	0.666
3177	0.188	0.278
3178	0.125	0.21
3179	0.229	0.408
3180	0.125	0.227
3181	0.146	0.141
3182	0.208	0.806
3183	0.167	0.232
3184	0.271	0.204
3185	0.083	0.173
3186	0.146	0.466
3187	0.125	0.908
3188	0.208	0.441
3189	0.229	0.32
3190	0.104	0.834
3191	0.271	0.405
3192	0.313	0.182
3193	0.229	0.48
3194	0.167	0.273
3195	0.25	0.702
3196	0.167	0.39
3197	0.292	0.844
3198	0.292	0.78
3199	0.146	0.087
3200	0.25	0.545
3201	0.188	0.072
3202	0.229	0.737
3203	0.188	0.56
3204	0.104	0.148
3205	0.292	0.66
3206	0.104	0.19
3207	0.167	0.455
3208	0.125	0.182
3209	0.125	0.145
3210	0.125	0.917
3211	0.25	0.818
3212	0.229	0.915
3213	0.271	0.53
3214	0.208	0.388
3215	0.125	0.073
3216	0.313	0.756
3217	0.208	0.617
3218	0.208	0.354
3219	0.146	0.501
3220	0.25	0.834
3221	0.167	0.795
3222	0.271	0.821
3223	0.042	0.25
3224	0.125	0.483
3225	0.063	0.082
3226	0.271	0.873
3227	0.375	0.799
3228	0.125	0.454
3229	0.146	0.015
3230	0.104	0.778
3231	0.167	0.726
3232	0.188	0.378
3233	0.188	0.821
3234	0.208	0.592
3235	0.229	0.612
3236	0.25	0.367
3237	0.167	0.246
3238	0.229	0.385
3239	0.167	0.53
3240	0.146	0.29
3241	0.104	0.368
3242	0.292	0.159
3243	0.208	0.822
3244	0.271	0.697
3245	0.104	0.198
3246	0.083	0.333
3247	0.167	0.582
3248	0.167	0.209
3249	0.25	0.618
3250	0.208	0.181
3251	0.083	0.508
3252	0.229	0.875
3253	0.25	0.781
3254	0.083	0.966
3255	0.188	0.222
3256	0.146	0.266
3257	0.063	0.237
3258	0.146	0.415
3259	0.292	0.733
3260	0.188	0.467
3261	0.25	0.361
3262	0.208	0.323
3263	0.25	0.918
3264	0.396	0.837
3265	0.042	0.202
3266	0.229	0.82
3267	0.167	0.887
3268	0.146	0.205
3269	0.125	0.121
3270	0.333	0.816
3271	0.188	0.168
3272	0.208	0.183
3273	0.208	0.871
3274	0.063	0.302
3275	0.188	0.572
3276	0.104	0.287
3277	0.375	0.585
3278	0.354	0.849
3279	0.146	0.13
3280	0.104	0.179
3281	0.208	0.88
3282	0.271	0.988
3283	0.333	0.547
3284	0.188	0.481
3285	0.271	0.569
3286	0.229	0.405
3287	0.104	0.696
3288	0.208	0.126
3289	0.146	0.548
3290	0.188	0.102
3291	0.271	0.728
3292	0.229	0.56
3293	0.125	0.125
3294	0.188	0.604
3295	0.104	0.726
3296	0.208	0.757
3297	0.25	0.96
3298	0.167	0.196
3299	0.104	0.182
3300	0.104	0.201
3301	0.25	0.565
3302	0.146	0.491
3303	0.229	0.826
3304	0.25	0.319
3305	0.208	0.624
3306	0.292	0.921
3307	0.229	0.728
3308	0.188	0.446
3309	0.333	0.883
3310	0.125	0.198
3311	0.313	0.904
3312	0.313	0.956
3313	0.25	0.568
3314	0.188	0.234
3315	0.208	0.298
3316	0.208	0.796
3317	0.208	0.779
3318	0.25	0.828
3319	0.333	0.913
3320	0.146	0.26
3321	0.292	0.449
3322	0.146	0.292
3323	0.083	0.167
3324	0.146	0.133
3325	0.125	0.101
3326	0.146	0.363
3327	0.208	0.19
3328	0.125	0.164
3329	0.208	0.535
3330	0.167	0.427
3331	0.167	0.363
3332	0.208	0.537
3333	0.208	0.26
3334	0.271	0.421
3335	0.125	0.479
3336	0.167	0.46
3337	0.146	0.691
3338	0.104	0.207
3339	0.125	0.454
3340	0.188	0.266
3341	0.188	0.579
3342	0.313	0.289
3343	0.188	0.064
3344	0.208	0.838
3345	0.208	0.414
3346	0.25	0.918
3347	0.125	0.032
3348	0.25	0.463
3349	0.146	0.156
3350	0.167	0.194
3351	0.375	0.917
3352	0.083	0.017
3353	0.188	0.519
3354	0.104	0.15
3355	0.354	0.419
3356	0.146	0.2
3357	0.25	0.148
3358	0.167	0.202
3359	0.188	0.078
3360	0.125	0.375
3361	0.271	0.932
3362	0.167	0.069
3363	0.167	0.728
3364	0.042	0.042
3365	0.208	0.811
3366	0.188	0.988
3367	0.229	0.605
3368	0.188	0.856
3369	0.063	0.082
3370	0.167	0.744
3371	0.125	0.11
3372	0.229	0.913
3373	0.354	0.984
3374	0.292	0.922
3375	0.125	0.911
3376	0.146	0.432
3377	0.188	0.725
3378	0.167	0.736
3379	0.208	0.126
3380	0.229	0.046
3381	0.375	0.791
3382	0.167	0.296
3383	0.188	0.83
3384	0.188	0.57
3385	0.188	0.126
3386	0.271	0.86
3387	0.125	0.446
3388	0.354	0.609
3389	0.229	0.595
3390	0.167	0.665
3391	0.104	0.199
3392	0.271	0.916
3393	0.25	0.918
3394	0.208	0.674
3395	0.25	0.921
3396	0.188	0.775
3397	0.229	0.349
3398	0.375	0.985
3399	0.271	0.573
3400	0.125	0.147
3401	0.125	0.36
3402	0.313	0.929
3403	0.25	0.43
3404	0.188	0.256
3405	0.188	0.355
3406	0.25	0.676
3407	0.208	0.143
3408	0.146	0.431
3409	0.229	0.646
3410	0.208	0.474
3411	0.208	0.597
3412	0.292	0.801
3413	0.146	0.394
3414	0.208	0.431
3415	0.292	0.48
3416	0.146	0.845
3417	0.146	0.258
3418	0.25	0.699
3419	0.188	0.533
3420	0.208	0.358
3421	0.208	0.076
3422	0.125	0.017
3423	0.229	0.41
3424	0.208	0.711
3425	0.188	0.318
3426	0.104	0.018
3427	0.188	0.132
3428	0.167	0.134
3429	0.208	0.286
3430	0.208	0.197
3431	0.208	0.65
3432	0.292	0.946
3433	0.292	0.687
3434	0.083	0.257
3435	0.229	0.713
3436	0.146	0.207
3437	0.396	0.787
3438	0.229	0.141
3439	0.292	0.955
3440	0.104	0.181
3441	0.25	0.854
3442	0.208	0.956
3443	0.188	0.726
3444	0.167	0.973
3445	0.229	0.227
3446	0.146	0.166
3447	0.208	0.806
3448	0.146	0.277
3449	0.271	0.685
3450	0.271	0.947
3451	0.208	0.565
3452	0.125	0.395
3453	0.146	0.747
3454	0.292	0.327
3455	0.229	0.157
3456	0.25	0.643
3457	0.146	0.357
3458	0.208	0.42
3459	0.188	0.472
3460	0.146	0.401
3461	0.167	0.702
3462	0.313	0.949
3463	0.25	0.786
3464	0.229	0.179
3465	0.208	0.7
3466	0.313	0.811
3467	0.208	0.944
3468	0.271	0.713
3469	0.229	0.712
3470	0.208	0.877
3471	0.167	0.703
3472	0.167	0.589
3473	0.229	0.816
3474	0.25	0.901
3475	0.125	0.542
3476	0.292	0.97
3477	0.271	0.969
3478	0.146	0.719
3479	0.167	0.066
3480	0.292	0.423
3481	0.167	0.532
3482	0.104	0.258
3483	0.229	0.5
3484	0.188	0.037
3485	0.083	0.265
3486	0.146	0.977
3487	0.292	0.523
3488	0.271	0.937
3489	0.167	0.92
3490	0.188	0.701
3491	0.333	0.803
3492	0.188	0.023
3493	0.25	0.19
3494	0.167	0.202
3495	0.125	0.684
3496	0.292	0.769
3497	0.146	0.184
3498	0.146	0.813
3499	0.104	0.623
3500	0.25	0.85
3501	0.229	0.271
3502	0.208	0.04
3503	0.188	0.586
3504	0.354	0.957
3505	0.229	0.443
3506	0.292	0.734
3507	0.229	0.643
3508	0.125	0.07
3509	0.188	0.02
3510	0.167	0.78
3511	0.167	0.167
3512	0.125	0.548
3513	0.167	0.533
3514	0.167	0.928
3515	0.104	0.16
3516	0.208	0.231
3517	0.271	0.504
3518	0.313	0.544
3519	0.188	0.716
3520	0.188	0.041
3521	0.188	0.311
3522	0.104	0.248
3523	0.271	0.737
3524	0.313	0.291
3525	0.271	0.426
3526	0.25	0.923
3527	0.271	0.634
3528	0.167	0.455
3529	0.188	0.381
3530	0.188	0.716
3531	0.25	0.768
3532	0.229	0.782
3533	0.208	0.434
3534	0.104	0.437
3535	0.146	0.283
3536	0.188	0.187
3537	0.188	0.829
3538	0.104	0.351
3539	0.063	0.223
3540	0.25	0.488
3541	0.146	0.774
3542	0.188	0.343
3543	0.292	0.432
3544	0.167	0.038
3545	0.146	0.237
3546	0.146	0.361
3547	0.125	0.917
3548	0.167	0.606
3549	0.229	0.9
3550	0.167	0.22
3551	0.188	0.777
3552	0.229	0.795
3553	0.271	0.727
3554	0.229	0.801
3555	0.292	0.847
3556	0.271	0.704
3557	0.333	0.893
3558	0.292	0.464
3559	0.25	0.871
3560	0.188	0.088
3561	0.229	0.774
3562	0.229	0.485
3563	0.375	0.433
3564	0.188	0.727
3565	0.125	0.087
3566	0.292	0.971
3567	0.188	0.523
3568	0.167	0.497
3569	0.104	0.395
3570	0.208	0.011
3571	0.167	0.659
3572	0.208	0.291
3573	0.208	0.408
3574	0.292	0.689
3575	0.104	0.713
3576	0.354	0.766
3577	0.313	0.816
3578	0.104	0.389
3579	0.333	0.818
3580	0.146	0.047
3581	0.208	0.026
3582	0.292	0.987
3583	0.188	0.539
3584	0.146	0.014
3585	0.208	0.825
3586	0.167	0.32
3587	0.25	0.884
3588	0.167	0.297
3589	0.271	0.853
3590	0.208	0.524
3591	0.292	0.797
3592	0.208	0.257
3593	0.188	0.866
3594	0.25	0.288
3595	0.125	0.077
3596	0.104	0.21
3597	0.146	0.394
3598	0.146	0.983
3599	0.167	0.018
3600	0.25	0.656
3601	0.125	0.239
3602	0.125	0.673
3603	0.292	0.726
3604	0.125	0.392
3605	0.229	0.323
3606	0.25	0.878
3607	0.167	0.967
3608	0.208	0.324
3609	0.313	0.596
3610	0.208	0.414
3611	0.271	0.549
3612	0.188	0.146
3613	0.229	0.181
3614	0.292	0.918
3615	0.271	0.465
3616	0.146	0.427
3617	0.292	0.898
3618	0.271	0.945
3619	0.271	0.513
3620	0.25	0.754
3621	0.396	0.22
3622	0.146	0.48
3623	0.125	0.131
3624	0.25	0.755
3625	0.188	0.525
3626	0.167	0.756
3627	0.333	0.57
3628	0.208	0.722
3629	0.333	0.088
3630	0.146	0.173
3631	0.146	0.257
3632	0.292	0.416
3633	0.271	0.372
3634	0.104	0.609
3635	0.125	0.027
3636	0.229	0.705
3637	0.271	0.834
3638	0.354	0.231
3639	0.25	0.949
3640	0.125	0.587
3641	0.292	0.644
3642	0.188	0.317
3643	0.188	0.809
3644	0.167	0.193
3645	0.208	0.802
3646	0.208	0.124
3647	0.229	0.6
3648	0.188	0.332
3649	0.229	0.247
3650	0.208	0.498
3651	0.229	0.207
3652	0.188	0.577
3653	0.229	0.98
3654	0.333	0.205
3655	0.188	0.661
3656	0.125	0.147
3657	0.188	0.322
3658	0.271	0.5
3659	0.188	0.146
3660	0.146	0.442
3661	0.188	0.843
3662	0.167	0.022
3663	0.125	0.423
3664	0.188	0.318
3665	0.229	0.76
3666	0.167	0.272
3667	0.125	0.219
3668	0.271	0.989
3669	0.271	0.674
3670	0.146	0.427
3671	0.104	0.017
3672	0.25	0.134
3673	0.208	0.648
3674	0.208	0.819
3675	0.167	0.489
3676	0.271	0.487
3677	0.313	0.714
3678	0.229	0.455
3679	0.208	0.538
3680	0.292	0.515
3681	0.292	0.827
3682	0.146	0.084
3683	0.208	0.135
3684	0.25	0.185
3685	0.167	0.627
3686	0.292	0.74
3687	0.229	0.666
3688	0.25	0.369
3689	0.229	0.167
3690	0.188	0.461
3691	0.354	0.629
3692	0.208	0.738
3693	0.292	0.108
3694	0.229	0.769
3695	0.125	0.543
3696	0.104	0.878
3697	0.354	0.848
3698	0.188	0.755
3699	0.229	0.527
3700	0.167	0.735
3701	0.313	0.342
3702	0.229	0.836
3703	0.229	0.238
3704	0.229	0.935
3705	0.25	0.864
3706	0.146	0.349
3707	0.25	0.517
3708	0.333	0.542
3709	0.104	0.659
3710	0.146	0.891
3711	0.167	0.843
3712	0.25	0.806
3713	0.167	0.543
3714	0.146	0.361
3715	0.354	0.939
3716	0.229	0.617
3717	0.25	0.139
3718	0.125	0.32
3719	0.229	0.392
3720	0.229	0.22
3721	0.25	0.805
3722	0.208	0.906
3723	0.125	0.129
3724	0.188	0.624
3725	0.146	0.293
3726	0.271	0.653
3727	0.313	0.494
3728	0.292	0.52
3729	0.208	0.451
3730	0.188	0.418
3731	0.146	0.102
3732	0.229	0.534
3733	0.271	0.834
3734	0.188	0.212
3735	0.208	0.732
3736	0.271	0.849
3737	0.229	0.57
3738	0.25	0.927
3739	0.167	0.795
3740	0.229	0.348
3741	0.25	0.664
3742	0.313	0.765
3743	0.104	0.106
3744	0.25	0.363
3745	0.292	0.528
3746	0.25	0.222
3747	0.271	0.13
3748	0.167	0.537
3749	0.104	0.481
3750	0.208	0.891
3751	0.167	0.825
3752	0.104	0.9
3753	0.229	0.359
3754	0.271	0.346
3755	0.271	0.212
3756	0.229	0.554
3757	0.271	0.318
3758	0.271	0.423
3759	0.292	0.634
3760	0.333	0.976
3761	0.188	0.802
3762	0.271	0.731
3763	0.354	0.642
3764	0.104	0.459
3765	0.292	0.713
3766	0.146	0.415
3767	0.333	0.597
3768	0.25	0.7
3769	0.25	0.757
3770	0.208	0.509
3771	0.25	0.52
3772	0.271	0.749
3773	0.229	0.203
3774	0.188	0.611
3775	0.188	0.502
3776	0.208	0.22
3777	0.042	0.022
3778	0.229	0.911
3779	0.292	0.943
3780	0.188	0.424
3781	0.167	0.274
3782	0.188	0.425
3783	0.188	0.315
3784	0.229	0.863
3785	0.292	0.392
3786	0.229	0.558
3787	0.292	0.895
3788	0.354	0.717
3789	0.292	0.874
3790	0.229	0.934
3791	0.292	0.638
3792	0.208	0.82
3793	0.146	0.277
3794	0.188	0.171
3795	0.208	0.652
3796	0.167	0.181
3797	0.167	0.364
3798	0.167	0.042
3799	0.333	0.571
3800	0.146	0.082
3801	0.208	0.143
3802	0.167	0.821
3803	0.271	0.236
3804	0.333	0.571
3805	0.271	0.874
3806	0.25	0.314
3807	0.313	0.568
3808	0.333	0.538
3809	0.208	0.214
3810	0.167	0.368
3811	0.167	0.053
3812	0.354	0.975
3813	0.25	0.647
3814	0.375	0.111
3815	0.208	0.081
3816	0.25	0.949
3817	0.229	0.634
3818	0.208	0.677
3819	0.146	0.431
3820	0.313	0.47
3821	0.125	0.099
3822	0.146	0.304
3823	0.25	0.274
3824	0.375	0.78
3825	0.188	0.017
3826	0.333	0.791
3827	0.25	0.159
3828	0.125	0.06
3829	0.25	0.46
3830	0.104	0.122
3831	0.188	0.053
3832	0.354	0.762
3833	0.208	0.08
3834	0.292	0.344
3835	0.146	0.196
3836	0.104	0.032
3837	0.167	0.8
3838	0.125	0.119
3839	0.271	0.963
3840	0.208	0.923
3841	0.271	0.529
3842	0.125	0.169
3843	0.104	0.472
3844	0.229	0.149
3845	0.146	0.324
3846	0.354	0.953
3847	0.208	0.737
3848	0.25	0.84
3849	0.25	0.616
3850	0.333	0.413
3851	0.167	0.572
3852	0.333	0.891
3853	0.104	0.429
3854	0.208	0.026
3855	0.167	0.674
3856	0.188	0.528
3857	0.083	0.105
3858	0.333	0.741
3859	0.25	0.563
3860	0.188	0.183
3861	0.229	0.573
3862	0.125	0.632
3863	0.125	0.723
3864	0.229	0.409
3865	0.188	0.233
3866	0.229	0.508
3867	0.229	0.092
3868	0.125	0.347
3869	0.354	0.761
3870	0.229	0.165
3871	0.354	0.302
3872	0.271	0.431
3873	0.188	0.546
3874	0.271	0.304
3875	0.25	0.831
3876	0.25	0.71
3877	0.146	0.082
3878	0.167	0.412
3879	0.271	0.694
3880	0.083	0.607
3881	0.188	0.04
3882	0.167	0.609
3883	0.25	0.774
3884	0.229	0.777
3885	0.167	0.322
3886	0.208	0.639
3887	0.229	0.315
3888	0.313	0.403
3889	0.25	0.579
3890	0.229	0.924
3891	0.25	0.463
3892	0.188	0.321
3893	0.188	0.608
3894	0.25	0.915
3895	0.188	0.23
3896	0.313	0.842
3897	0.25	0.924
3898	0.208	0.375
3899	0.188	0.676
3900	0.271	0.153
3901	0.167	0.119
3902	0.104	0.491
3903	0.188	0.5
3904	0.188	0.146
3905	0.104	0.303
3906	0.313	0.749
3907	0.146	0.135
3908	0.146	0.295
3909	0.313	0.392
3910	0.188	0.42
3911	0.208	0.218
3912	0.208	0.486
3913	0.208	0.083
3914	0.25	0.492
3915	0.188	0.258
3916	0.25	0.702
3917	0.333	0.1
3918	0.167	0.546
3919	0.229	0.732
3920	0.229	0.552
3921	0.125	0.171
3922	0.292	0.902
3923	0.188	0.445
3924	0.208	0.92
3925	0.313	0.564
3926	0.167	0.821
3927	0.25	0.964
3928	0.083	0.031
3929	0.313	0.756
3930	0.125	0.484
3931	0.25	0.394
3932	0.229	0.432
3933	0.354	0.896
3934	0.229	0.159
3935	0.229	0.391
3936	0.25	0.297
3937	0.271	0.423
3938	0.167	0.487
3939	0.25	0.716
3940	0.167	0.073
3941	0.104	0.273
3942	0.167	0.466
3943	0.188	0.48
3944	0.229	0.782
3945	0.188	0.318
3946	0.271	0.413
3947	0.229	0.194
3948	0.125	0.054
3949	0.125	0.267
3950	0.188	0.669
3951	0.083	0.101
3952	0.188	0.368
3953	0.292	0.886
3954	0.25	0.434
3955	0.188	0.394
3956	0.104	0.123
3957	0.208	0.205
3958	0.188	0.07
3959	0.208	0.501
3960	0.25	0.841
3961	0.25	0.987
3962	0.167	0.567
3963	0.167	0.075
3964	0.188	0.512
3965	0.125	0.113
3966	0.167	0.228
3967	0.292	0.569
3968	0.271	0.262
3969	0.104	0.03
3970	0.125	0.588
3971	0.229	0.188
3972	0.146	0.065
3973	0.167	0.866
3974	0.354	0.523
3975	0.146	0.719
3976	0.25	0.83
3977	0.208	0.413
3978	0.188	0.048
3979	0.208	0.479
3980	0.125	0.197
3981	0.188	0.417
3982	0.146	0.836
3983	0.333	0.65
3984	0.208	0.776
3985	0.188	0.925
3986	0.104	0.424
3987	0.333	0.544
3988	0.229	0.318
3989	0.229	0.582
3990	0.313	0.451
3991	0.271	0.304
3992	0.354	0.567
3993	0.063	0.137
3994	0.208	0.598
3995	0.229	0.354
3996	0.271	0.336
3997	0.229	0.657
3998	0.292	0.948
3999	0.146	0.18
4000	0.229	0.245
4001	0.333	0.308
4002	0.167	0.786
4003	0.125	0.658
4004	0.313	0.594
4005	0.271	0.616
4006	0.271	0.602
4007	0.167	0.071
4008	0.146	0.237
4009	0.333	0.259
4010	0.229	0.923
4011	0.25	0.028
4012	0.167	0.05
4013	0.167	0.109
4014	0.229	0.692
4015	0.229	0.351
4016	0.146	0.526
4017	0.25	0.868
4018	0.292	0.836
4019	0.229	0.665
4020	0.271	0.888
4021	0.167	0.106
4022	0.271	0.789
4023	0.167	0.603
4024	0.333	0.93
4025	0.229	0.084
4026	0.146	0.174
4027	0.229	0.258
4028	0.208	0.025
4029	0.438	0.912
4030	0.167	0.045
4031	0.167	0.705
4032	0.25	0.827
4033	0.333	0.558
4034	0.25	0.204
4035	0.208	0.099
4036	0.188	0.604
4037	0.271	0.859
4038	0.229	0.491
4039	0.146	0.092
4040	0.229	0.376
4041	0.271	0.117
4042	0.25	0.984
4043	0.271	0.754
4044	0.167	0.913
4045	0.188	0.834
4046	0.292	0.911
4047	0.292	0.91
4048	0.146	0.111
4049	0.188	0.584
4050	0.271	0.677
4051	0.208	0.249
4052	0.25	0.346
4053	0.167	0.837
4054	0.292	0.846
4055	0.167	0.429
4056	0.188	0.545
4057	0.188	0.324
4058	0.208	0.382
4059	0.271	0.507
4060	0.188	0.421
4061	0.333	0.623
4062	0.292	0.97
4063	0.271	0.892
4064	0.042	0.128
4065	0.292	0.703
4066	0.229	0.086
4067	0.188	0.142
4068	0.188	0.959
4069	0.167	0.716
4070	0.167	0.26
4071	0.188	0.198
4072	0.167	0.481
4073	0.25	0.367
4074	0.271	0.331
4075	0.375	0.588
4076	0.271	0.883
4077	0.229	0.182
4078	0.167	0.628
4079	0.292	0.3
4080	0.167	0.048
4081	0.188	0.599
4082	0.167	0.256
4083	0.354	0.686
4084	0.167	0.882
4085	0.083	0.108
4086	0.208	0.063
4087	0.271	0.516
4088	0.396	0.949
4089	0.313	0.313
4090	0.292	0.966
4091	0.271	0.197
4092	0.313	0.947
4093	0.208	0.43
4094	0.375	0.967
4095	0.375	0.713
4096	0.208	0.745
4097	0.208	0.802
4098	0.25	0.36
4099	0.188	0.809
4100	0.167	0.32
4101	0.25	0.239
4102	0.25	0.725
4103	0.229	0.571
4104	0.188	0.255
4105	0.271	0.329
4106	0.208	0.903
4107	0.146	0.275
4108	0.188	0.069
4109	0.271	0.54
4110	0.104	0.06
4111	0.292	0.478
4112	0.25	0.311
4113	0.25	0.315
4114	0.229	0.497
4115	0.104	0.302
4116	0.188	0.561
4117	0.333	0.603
4118	0.208	0.6
4119	0.313	0.902
4120	0.479	0.512
4121	0.188	0.223
4122	0.271	0.93
4123	0.271	0.428
4124	0.188	0.331
4125	0.229	0.793
4126	0.292	0.259
4127	0.313	0.034
4128	0.229	0.11
4129	0.271	0.112
4130	0.25	0.024
4131	0.229	0.687
4132	0.292	0.637
4133	0.375	0.482
4134	0.146	0.126
4135	0.333	0.977
4136	0.229	0.072
4137	0.313	0.842
4138	0.229	0.871
4139	0.25	0.861
4140	0.125	0.08
4141	0.167	0.247
4142	0.146	0.281
4143	0.188	0.029
4144	0.208	0.608
4145	0.208	0.651
4146	0.188	0.149
4147	0.188	0.252
4148	0.125	0.688
4149	0.271	0.596
4150	0.271	0.807
4151	0.333	0.212
4152	0.042	0.191
4153	0.167	0.748
4154	0.25	0.488
4155	0.313	0.353
4156	0.188	0.889
4157	0.229	0.373
4158	0.354	0.859
4159	0.208	0.385
4160	0.208	0.979
4161	0.229	0.595
4162	0.229	0.434
4163	0.229	0.674
4164	0.271	0.892
4165	0.292	0.913
4166	0.25	0.975
4167	0.208	0.452
4168	0.104	0.551
4169	0.188	0.113
4170	0.271	0.428
4171	0.375	0.239
4172	0.354	0.571
4173	0.167	0.588
4174	0.167	0.1
4175	0.271	0.734
4176	0.208	0.408
4177	0.25	0.586
4178	0.271	0.587
4179	0.333	0.454
4180	0.188	0.055
4181	0.25	0.33
4182	0.271	0.938
4183	0.313	0.842
4184	0.167	0.059
4185	0.333	0.451
4186	0.313	0.791
4187	0.167	0.053
4188	0.229	0.166
4189	0.25	0.741
4190	0.333	0.647
4191	0.229	0.44
4192	0.188	0.855
4193	0.229	0.445
4194	0.292	0.524
4195	0.25	0.533
4196	0.229	0.551
4197	0.208	0.633
4198	0.229	0.962
4199	0.25	0.835
4200	0.271	0.148
4201	0.292	0.942
4202	0.208	0.29
4203	0.25	0.514
4204	0.167	0.553
4205	0.25	0.229
4206	0.229	0.42
